ID Google Scholar,Name,Affiliation,Citations,Profile URL
d7mEytAAAAAJ,Ulber Silalahi,Parahyangan Catholic University,11651,https://scholar.google.com/citations?hl=en&user=d7mEytAAAAAJ
arMot54AAAAJ,Marihot Tua Efendi Hariandja,Universitas Katolik Parahyangan,5333,https://scholar.google.com/citations?hl=en&user=arMot54AAAAJ
u4DANrkAAAAJ,Tri Basuki Joewono,Parahyangan Catholic University,2905,https://scholar.google.com/citations?hl=en&user=u4DANrkAAAAJ
oxpRORYAAAAJ,Tristam Pascal Moeliono,"lecturer, Faculty of Law-Catholic University of Parahyangan-Indonesia",2322,https://scholar.google.com/citations?hl=en&user=oxpRORYAAAAJ
nVe2ImMAAAAJ,Andreas Wibowo,"Senior lecturer in construction management, Parahyangan Catholic University",1703,https://scholar.google.com/citations?hl=en&user=nVe2ImMAAAAJ
jo0rmlwAAAAJ,Sentosa Sembiring,universitas katolik parahyangan,1701,https://scholar.google.com/citations?hl=en&user=jo0rmlwAAAAJ
A154PEIAAAAJ,Djaja Sembiring Meliala,,1671,https://scholar.google.com/citations?hl=en&user=A154PEIAAAAJ
-uRs89IAAAAJ,Veritas et Justitia,Parahyangan Catholic University Faculty of Law,1659,https://scholar.google.com/citations?hl=en&user=-uRs89IAAAAJ
_jCSV1UAAAAJ,Nico Saputro,Parahyangan Catholic University,1651,https://scholar.google.com/citations?hl=en&user=_jCSV1UAAAAJ
A2-_y-kAAAAJ,Inge Barlian,Universitas Katolik Parahyangan,1504,https://scholar.google.com/citations?hl=en&user=A2-_y-kAAAAJ
9396vRoAAAAJ,Bambang Suryoatmono,"Professor of Civil Engineering, Parahyangan Catholic University",1478,https://scholar.google.com/citations?hl=en&user=9396vRoAAAAJ
kIUWHs8AAAAJ,Ratna Frida Susanti,Universitas Katolik Parahyangan,1441,https://scholar.google.com/citations?hl=en&user=kIUWHs8AAAAJ
QFb8Ew4AAAAJ,Hans Kristianto,Parahyangan Catholic University,1274,https://scholar.google.com/citations?hl=en&user=QFb8Ew4AAAAJ
2ptQYzEAAAAJ,Vera Intanie Dewi,"Associate Professor,Universitas Katolik Parahyangan,APMMI",1263,https://scholar.google.com/citations?hl=en&user=2ptQYzEAAAAJ
liOy1b4AAAAJ,Aknolt Kristian Pakpahan,Parahyangan Catholic University,1229,https://scholar.google.com/citations?hl=en&user=liOy1b4AAAAJ
yQXqn1QAAAAJ,Arenst Andreas Arie,Parahyangan Catholic University,1141,https://scholar.google.com/citations?hl=en&user=yQXqn1QAAAAJ
K2EaI9YAAAAJ,Philips Nicolas Gunawidjaja,Parahyangan Catholic University,1098,https://scholar.google.com/citations?hl=en&user=K2EaI9YAAAAJ
cgFbsKMAAAAJ,josef prijotomo,"Profesor Perkembangan Arsitektur, Universitas Katolik Parahyangan",1090,https://scholar.google.com/citations?hl=en&user=cgFbsKMAAAAJ
OBYbVFAAAAAJ,Indrasari Tjandraningsih,"Lecturer, Parahyangan University",1061,https://scholar.google.com/citations?hl=en&user=OBYbVFAAAAAJ
w7qEPygAAAAJ,Ignatius Suharto,Jurusan Teknik Kimia,1054,https://scholar.google.com/citations?hl=en&user=w7qEPygAAAAJ
Fjp1LV4AAAAJ,Paulus Pramono Rahardjo,"Professor of Geotechincal Engineering, Universitas Katolik Parahyangan",1003,https://scholar.google.com/citations?hl=en&user=Fjp1LV4AAAAJ
x71Rw8wAAAAJ,Budiono Kusumohamidjojo,"Professor, Universitas Katolik Parahyangan, Bandung",965,https://scholar.google.com/citations?hl=en&user=x71Rw8wAAAAJ
